Item #,Qty,Reference Designator,Description,Package,Type,Manufacturer,Part No.,Digikey Part No.,Link
25,2,JP1-2,"Male Headers Pins, 0.1"" spacing, 2x1",header,Through-hole,HARWIN INC,M20-9990246,952-2262-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=952-2262-ND
26,1,Q1,MOSFET N-CH 60V SOT-23,SOT-23,SMT,NXP SEMICONDUCTORS,"2N7002P,215",568-5818-1-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=568-5818-1-ND
27,1,SW1,"Switch Tactile, SPST-NO, 0.05A 12V",button,Through-hole,C&K Components,PTS645SK43 LFS,CKN9090-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=CKN9090-ND
28,1,U1,"IC, SWITCH QUAD 1X1 ",14-SOIC,SMT,NXP SEMICONDUCTORS,74HCT4066D,568-8177-1-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=568-8177-1-ND
29,1,U2,DUAL 4BIT BINRY COUNTR,14-SOIC,SMT,TEXAS INSTRUMENTS,SN74HC393DR,296-14851-1-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=296-14851-1-ND
30,1,U3,IC VREF GND REF PREC ADJ,8-SOIC,SMT,TEXAS INSTRUMENTS,TLE2426CD,296-6547-5-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=296-6547-5-ND
31,1,U4,IC Quad 2-IN NAND Gate,14-SOIC,SMT,TEXAS INSTRUMENTS,SN74LV00ADR,296-1670-1-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=296-1670-1-ND
32,1,X1,CRYSTAL 16MHZ 18PF THRU,HC49/US,Through-hole,CITIZEN FINETECH MIYOTA,HC49US-16.000MABJ-UB,300-6034-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=300-6034-ND
33,,S1-3,"SHUNT JUMPER .1""",N/A,N/A,3M,969102-0000-DA,3M9580-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=3M9580-ND
,,,,,,,,,
Notes:,C13 and S1-3 do not need to be placed,,,,,,,,
